content,place,year,month,content_token,negative,neutral,positive,compound,comp_score
warmingthe ice sheet gained 7 gigatons mass one day yesterday largest daily gain ever recorded summer,africa,2022,August,"['warmingthe', 'ice', 'sheet', 'gained', '7', 'gigatons', 'mass', 'one', 'day', 'yesterday', 'largest', 'daily', 'gain', 'ever', 'recorded', 'summer']",0.0,0.684,0.316,0.7184,positive
nm btw solve,africa,2022,August,"['nm', 'btw', 'solve']",0.0,0.526,0.474,0.2023,neutral
namasteh oh mythats newnow enjoy hot cup coffeeyou saved penguins,africa,2022,August,"['namasteh', 'oh', 'mythats', 'newnow', 'enjoy', 'hot', 'cup', 'coffeeyou', 'saved', 'penguins']",0.0,0.571,0.429,0.7184,positive
idiot 1000s people dying pakistan floods people dying african due draught weather failure result,africa,2022,August,"['idiot', '1000s', 'people', 'dying', 'pakistan', 'floods', 'people', 'dying', 'african', 'due', 'draught', 'weather', 'failure', 'result']",0.355,0.645,0.0,-0.765,negative
extreme floods witnessing today direct result real,africa,2022,August,"['extreme', 'floods', 'witnessing', 'today', 'direct', 'result', 'real']",0.0,1.0,0.0,0.0,neutral
let everyone tweet make trend no1 declared,africa,2022,August,"['let', 'everyone', 'tweet', 'make', 'trend', 'no1', 'declared']",0.0,1.0,0.0,0.0,neutral
hate recent events wake call everyone turning point still people listening idiots like mtg saying good currently prius work homenot driving much cont,africa,2022,August,"['hate', 'recent', 'events', 'wake', 'call', 'everyone', 'turning', 'point', 'still', 'people', 'listening', 'idiots', 'like', 'mtg', 'saying', 'good', 'currently', 'prius', 'work', 'homenot', 'driving', 'much', 'cont']",0.127,0.687,0.186,0.1779,neutral
unfortunately science tells unavoidable coming years serious impact systems africa mostly exposed impacts,africa,2022,August,"['unfortunately', 'science', 'tells', 'unavoidable', 'coming', 'years', 'serious', 'impact', 'systems', 'africa', 'mostly', 'exposed', 'impacts']",0.333,0.667,0.0,-0.4588,negative
recent flood pakistan unfortunate event many attributed adverse effect also impact cc get worse effects systemic physical systemic risks face,africa,2022,August,"['recent', 'flood', 'pakistan', 'unfortunate', 'event', 'many', 'attributed', 'adverse', 'effect', 'also', 'impact', 'cc', 'get', 'worse', 'effects', 'systemic', 'physical', 'systemic', 'risks', 'face']",0.401,0.599,0.0,-0.8658,negative
amenespecially given events seeing scientists seeing polar increasing anticipated get another gop potus trying censor terms god help,africa,2022,August,"['amenespecially', 'given', 'events', 'seeing', 'scientists', 'seeing', 'polar', 'increasing', 'anticipated', 'get', 'another', 'gop', 'potus', 'trying', 'censor', 'terms', 'god', 'help']",0.132,0.658,0.211,0.2023,neutral
earth take care life take care one another,africa,2022,August,"['earth', 'take', 'care', 'life', 'take', 'care', 'one', 'another']",0.0,0.484,0.516,0.7506,positive
wonder world would different took money went religion constant companion war put work solving inequality,africa,2022,August,"['wonder', 'world', 'would', 'different', 'took', 'money', 'went', 'religion', 'constant', 'companion', 'war', 'put', 'work', 'solving', 'inequality']",0.202,0.674,0.124,-0.3612,negative
ecoresponsible gesture expect largescale action reduction co2 emissions end private jets laws save take,africa,2022,August,"['ecoresponsible', 'gesture', 'expect', 'largescale', 'action', 'reduction', 'co2', 'emissions', 'end', 'private', 'jets', 'laws', 'save', 'take']",0.0,0.802,0.198,0.4939,positive
passing day future humanity much bleaker lack action serious common problem must stem rhetoric save planet actions like save take action,africa,2022,August,"['passing', 'day', 'future', 'humanity', 'much', 'bleaker', 'lack', 'action', 'serious', 'common', 'problem', 'must', 'stem', 'rhetoric', 'save', 'planet', 'actions', 'like', 'save', 'take', 'action']",0.209,0.497,0.295,0.5574,positive
50000000 people displaced pakistan literally kenyan citizens displaced heartbreaking someone says real,africa,2022,August,"['50000000', 'people', 'displaced', 'pakistan', 'literally', 'kenyan', 'citizens', 'displaced', 'heartbreaking', 'someone', 'says', 'real']",0.214,0.786,0.0,-0.4588,negative
sunny day exacerbate thatll show locavore idiots fancy schmancy herb gardens homemade compost,africa,2022,August,"['sunny', 'day', 'exacerbate', 'thatll', 'show', 'locavore', 'idiots', 'fancy', 'schmancy', 'herb', 'gardens', 'homemade', 'compost']",0.0,0.811,0.189,0.4215,positive
traffic hmmmglobal warmingthe real cause climaxtic,africa,2022,August,"['traffic', 'hmmmglobal', 'warmingthe', 'real', 'cause', 'climaxtic']",0.0,1.0,0.0,0.0,neutral
illness covidmonkey pocks,africa,2022,August,"['illness', 'covidmonkey', 'pocks']",0.574,0.426,0.0,-0.4019,negative
following countries experiencing heavy floodsnigeria china pakistan sudan sierra leone indonesia mention fewwhile europe experiencing worse draught decades ppl still vehemently denying,africa,2022,August,"['following', 'countries', 'experiencing', 'heavy', 'floodsnigeria', 'china', 'pakistan', 'sudan', 'sierra', 'leone', 'indonesia', 'mention', 'fewwhile', 'europe', 'experiencing', 'worse', 'draught', 'decades', 'ppl', 'still', 'vehemently', 'denying']",0.216,0.784,0.0,-0.6705,negative
believe whole bull crap anymore,africa,2022,August,"['believe', 'whole', 'bull', 'crap', 'anymore']",0.394,0.606,0.0,-0.3818,negative
something tenure tackle reforestations applauded senate move motion,africa,2022,August,"['something', 'tenure', 'tackle', 'reforestations', 'applauded', 'senate', 'move', 'motion']",0.0,0.737,0.263,0.3612,positive
responsibility rich countries continuing ramping fossil fuel exploitation,africa,2022,August,"['responsibility', 'rich', 'countries', 'continuing', 'ramping', 'fossil', 'fuel', 'exploitation']",0.0,0.66,0.34,0.5574,positive
ice age incoming,africa,2022,August,"['ice', 'age', 'incoming']",0.0,1.0,0.0,0.0,neutral
tucker carlson says threat winteris,africa,2022,August,"['tucker', 'carlson', 'says', 'threat', 'winteris']",0.459,0.541,0.0,-0.5267,negative
kindly want hw causes thatsome explanation please,africa,2022,August,"['kindly', 'want', 'hw', 'causes', 'thatsome', 'explanation', 'please']",0.0,0.37,0.63,0.7003,positive
forgot add putins war,africa,2022,August,"['forgot', 'add', 'putins', 'war']",0.565,0.435,0.0,-0.5994,negative
vaccine hesitancy denial share much common threats personal community health action contingent cooperation social policy public support relies trust science,africa,2022,August,"['vaccine', 'hesitancy', 'denial', 'share', 'much', 'common', 'threats', 'personal', 'community', 'health', 'action', 'contingent', 'cooperation', 'social', 'policy', 'public', 'support', 'relies', 'trust', 'science']",0.168,0.538,0.294,0.5423,positive
newsflashgt phenomenon called many advocates screaming ignored voices made fun worst case scenario put jail,africa,2022,August,"['newsflashgt', 'phenomenon', 'called', 'many', 'advocates', 'screaming', 'ignored', 'voices', 'made', 'fun', 'worst', 'case', 'scenario', 'put', 'jail']",0.386,0.472,0.142,-0.6908,negative
poses fundamental threat places species peoples livelihoods wwf works protect adequately address crisis must urgently reduce carbon pollution prepare consequences already experiencing,africa,2022,August,"['poses', 'fundamental', 'threat', 'places', 'species', 'peoples', 'livelihoods', 'wwf', 'works', 'protect', 'adequately', 'address', 'crisis', 'must', 'urgently', 'reduce', 'carbon', 'pollution', 'prepare', 'consequences', 'already', 'experiencing']",0.25,0.6,0.15,-0.6124,negative
must wondering gotta,africa,2022,August,"['must', 'wondering', 'got', 'ta']",0.0,1.0,0.0,0.0,neutral
african countries called end injustice saying continent causes less four percent co2 emissions pays one highest prices warmingread,africa,2022,August,"['african', 'countries', 'called', 'end', 'injustice', 'saying', 'continent', 'causes', 'less', 'four', 'percent', 'co2', 'emissions', 'pays', 'one', 'highest', 'prices', 'warmingread']",0.179,0.821,0.0,-0.5719,negative
intensifies expect number days record high temperatures increase human activities cause heat waves occurring globally,africa,2022,August,"['intensifies', 'expect', 'number', 'days', 'record', 'high', 'temperatures', 'increase', 'human', 'activities', 'cause', 'heat', 'waves', 'occurring', 'globally']",0.0,0.783,0.217,0.3818,positive
teaching children hard gardens made reality young gardeners drought realized water scarce plants dying unesco,africa,2022,August,"['teaching', 'children', 'hard', 'gardens', 'made', 'reality', 'young', 'gardeners', 'drought', 'realized', 'water', 'scarce', 'plants', 'dying', 'unesco']",0.091,0.909,0.0,-0.1027,neutral
scientific consensus human activity major contributor rate current negative effects,africa,2022,August,"['scientific', 'consensus', 'human', 'activity', 'major', 'contributor', 'rate', 'current', 'negative', 'effects']",0.291,0.709,0.0,-0.5719,negative
much factory farming contribute factory farming accounts 37 methane ch4 emissions hasmore 20 times potential co2,africa,2022,August,"['much', 'factory', 'farming', 'contribute', 'factory', 'farming', 'accounts', '37', 'methane', 'ch4', 'emissions', 'hasmore', '20', 'times', 'potential', 'co2']",0.0,1.0,0.0,0.0,neutral
eating fewer animalbased foods also benefits planet saving precious resources reducing greenhouse gases associated,africa,2022,August,"['eating', 'fewer', 'animalbased', 'foods', 'also', 'benefits', 'planet', 'saving', 'precious', 'resources', 'reducing', 'greenhouse', 'gases', 'associated']",0.0,0.656,0.344,0.743,positive
every year cooking solid fuels produces much climateharming emissions airline industry including half humangenerated emissions black carbon 1500 times impactful co2read report,africa,2022,August,"['every', 'year', 'cooking', 'solid', 'fuels', 'produces', 'much', 'climateharming', 'emissions', 'airline', 'industry', 'including', 'half', 'humangenerated', 'emissions', 'black', 'carbon', '1500', 'times', 'impactful', 'co2read', 'report']",0.0,0.929,0.071,0.1531,neutral
swiss created help fund fighting project also approached several ngos europe discuss differents actions carried partnership,africa,2022,August,"['swiss', 'created', 'help', 'fund', 'fighting', 'project', 'also', 'approached', 'several', 'ngos', 'europe', 'discuss', 'differents', 'actions', 'carried', 'partnership']",0.124,0.644,0.233,0.296,neutral
factory farming accounts 37 methane ch4 emissions 20 times potential co22,africa,2022,August,"['factory', 'farming', 'accounts', '37', 'methane', 'ch4', 'emissions', '20', 'times', 'potential', 'co22']",0.0,1.0,0.0,0.0,neutral
ongoing team embarked planting new tree species resistant hot weather aim combating environmental degradation pga,africa,2022,August,"['ongoing', 'team', 'embarked', 'planting', 'new', 'tree', 'species', 'resistant', 'hot', 'weather', 'aim', 'combating', 'environmental', 'degradation', 'pga']",0.195,0.805,0.0,-0.5267,negative
right would africa pay,africa,2022,August,"['right', 'would', 'africa', 'pay']",0.318,0.682,0.0,-0.1027,neutral
african countries argue continent causes less four percent co2 emissions pays one highest prices warmingdetails,africa,2022,August,"['african', 'countries', 'argue', 'continent', 'causes', 'less', 'four', 'percent', 'co2', 'emissions', 'pays', 'one', 'highest', 'prices', 'warmingdetails']",0.146,0.854,0.0,-0.34,negative
need rapid farreaching transitions almost aspects lives economies governance order limit 15c possible,africa,2022,August,"['need', 'rapid', 'farreaching', 'transitions', 'almost', 'aspects', 'lives', 'economies', 'governance', 'order', 'limit', '15c', 'possible']",0.0,1.0,0.0,0.0,neutral
karam lol think call earth warms yes cause extreme colds regions,africa,2022,August,"['karam', 'lol', 'think', 'call', 'earth', 'warms', 'yes', 'cause', 'extreme', 'colds', 'regions']",0.0,0.513,0.487,0.765,positive
effects signs clear every conner world need solutions,africa,2022,August,"['effects', 'signs', 'clear', 'every', 'conner', 'world', 'need', 'solutions']",0.0,0.583,0.417,0.5106,positive
id concerned interrupting gulf streamat least would wouldnt worry,africa,2022,August,"['id', 'concerned', 'interrupting', 'gulf', 'streamat', 'least', 'would', 'wouldnt', 'worry']",0.19,0.603,0.207,0.0531,neutral
entire northern hemisphere experienced dry summer shows speed fragility,africa,2022,August,"['entire', 'northern', 'hemisphere', 'experienced', 'dry', 'summer', 'shows', 'speed', 'fragility']",0.0,1.0,0.0,0.0,neutral
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
cant put blame,africa,2022,August,"['cant', 'put', 'blame']",0.0,0.496,0.504,0.2584,neutral
uninhabitable places earth understatement summer temperatures high youd convinced brains melted within cranium winter temperatures low youd pray day night desert filled sand boas,africa,2022,August,"['uninhabitable', 'places', 'earth', 'understatement', 'summer', 'temperatures', 'high', 'youd', 'convinced', 'brains', 'melted', 'within', 'cranium', 'winter', 'temperatures', 'low', 'youd', 'pray', 'day', 'night', 'desert', 'filled', 'sand', 'boas']",0.075,0.747,0.178,0.4404,positive
african countries monday called end injustice saying continent causes less four percent co2 emissions pays one highest prices government officials international organisations,africa,2022,August,"['african', 'countries', 'monday', 'called', 'end', 'injustice', 'saying', 'continent', 'causes', 'less', 'four', 'percent', 'co2', 'emissions', 'pays', 'one', 'highest', 'prices', 'government', 'officials', 'international', 'organisations']",0.15,0.85,0.0,-0.5719,negative
eastafrican second hand trucks vehicles contribute pollution burden africa yet contributes less regions emissions uk making ke burial ground vehicles run fossil fuel turns cleaner technologies,africa,2022,August,"['eastafrican', 'second', 'hand', 'trucks', 'vehicles', 'contribute', 'pollution', 'burden', 'africa', 'yet', 'contributes', 'less', 'regions', 'emissions', 'uk', 'making', 'ke', 'burial', 'ground', 'vehicles', 'run', 'fossil', 'fuel', 'turns', 'cleaner', 'technologies']",0.094,0.747,0.159,0.25,neutral
dealt em,africa,2022,August,"['dealt', 'em']",0.0,1.0,0.0,0.0,neutral
populated countries need babies also ready complaining air pollution continue depend oil,africa,2022,August,"['populated', 'countries', 'need', 'babies', 'also', 'ready', 'complaining', 'air', 'pollution', 'continue', 'depend', 'oil']",0.126,0.699,0.175,0.1779,neutral
funny lol,africa,2022,August,"['funny', 'lol']",0.0,0.0,1.0,0.6908,positive
manmade hoaxsters greenland ice sheet set trigger nearly foot sea level rise,africa,2022,August,"['manmade', 'hoaxsters', 'greenland', 'ice', 'sheet', 'set', 'trigger', 'nearly', 'foot', 'sea', 'level', 'rise']",0.0,1.0,0.0,0.0,neutral
ecc read one ipccs report achieve mark reduction greenhouse gases 2030 achieve 15oc 2050most nigerians even aware causes let alone putting efforts stop nigerians need awareness,africa,2022,August,"['ecc', 'read', 'one', 'ipccs', 'report', 'achieve', 'mark', 'reduction', 'greenhouse', 'gases', '2030', 'achieve', '15oc', '2050most', 'nigerians', 'even', 'aware', 'causes', 'let', 'alone', 'putting', 'efforts', 'stop', 'nigerians', 'need', 'awareness']",0.149,0.851,0.0,-0.4939,negative
otero broapart polar regions pakistan glaciers planet melting like nonsense,africa,2022,August,"['otero', 'broapart', 'polar', 'regions', 'pakistan', 'glaciers', 'planet', 'melting', 'like', 'nonsense']",0.205,0.606,0.189,-0.0516,neutral
scores diesel generator spewing toxic fuel atmosphere days warming6 costs diesel generators maintains repairedo wa ga,africa,2022,August,"['scores', 'diesel', 'generator', 'spewing', 'toxic', 'fuel', 'atmosphere', 'days', 'warming6', 'costs', 'diesel', 'generators', 'maintains', 'repairedo', 'wa', 'ga']",0.0,1.0,0.0,0.0,neutral
17c 2050 1740 million people could migrate internally subsaharan africa increasing 5686 million 25c gt60 west africa ch,africa,2022,August,"['17c', '2050', '1740', 'million', 'people', 'could', 'migrate', 'internally', 'subsaharan', 'africa', 'increasing', '5686', 'million', '25c', 'gt60', 'west', 'africa', 'ch']",0.0,1.0,0.0,0.0,neutral
biggest problem world war poverty organise among make good decisions carry alex pentland mit professorby,africa,2022,August,"['biggest', 'problem', 'world', 'war', 'poverty', 'organise', 'among', 'make', 'good', 'decisions', 'carry', 'alex', 'pentland', 'mit', 'professorby']",0.416,0.462,0.122,-0.7906,negative
apfl im surprised quick blame god quick blame men humans never learn history cause yeah didnt god save baby rabbits deer,africa,2022,August,"['apfl', 'im', 'surprised', 'quick', 'blame', 'god', 'quick', 'blame', 'men', 'humans', 'never', 'learn', 'history', 'cause', 'yeah', 'didnt', 'god', 'save', 'baby', 'rabbits', 'deer']",0.25,0.471,0.279,-0.033,neutral
baba wahalawhen,africa,2022,August,"['baba', 'wahalawhen']",0.0,1.0,0.0,0.0,neutral
environmental activists need understand short run triangle political dependency putins gas nuclear power nuclear power feasible alternative transition green,africa,2022,August,"['environmental', 'activists', 'need', 'understand', 'short', 'run', 'triangle', 'political', 'dependency', 'putins', 'gas', 'nuclear', 'power', 'nuclear', 'power', 'feasible', 'alternative', 'transition', 'green']",0.0,1.0,0.0,0.0,neutral
org better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['org', 'better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.116,0.453,0.431,0.8779,positive
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
second hand trucks vehicles contribute pollution burden africa yet contributes less regions emissions uk making ke burial ground vehicles run fossil fuel turns cleaner technologies,africa,2022,August,"['second', 'hand', 'trucks', 'vehicles', 'contribute', 'pollution', 'burden', 'africa', 'yet', 'contributes', 'less', 'regions', 'emissions', 'uk', 'making', 'ke', 'burial', 'ground', 'vehicles', 'run', 'fossil', 'fuel', 'turns', 'cleaner', 'technologies']",0.097,0.738,0.164,0.25,neutral
finally got around watching documentary white frat guys 911 caused bombed pearl harbor,africa,2022,August,"['finally', 'got', 'around', 'watching', 'documentary', 'white', 'frat', 'guys', '911', 'caused', 'bombed', 'pearl', 'harbor']",0.0,1.0,0.0,0.0,neutral
must everything slow late africanunion,africa,2022,August,"['must', 'everything', 'slow', 'late', 'africanunion']",0.0,1.0,0.0,0.0,neutral
funny present imaginary scenario warmingthrough song produced year1986,africa,2022,August,"['funny', 'present', 'imaginary', 'scenario', 'warmingthrough', 'song', 'produced', 'year1986']",0.0,0.707,0.293,0.4404,positive
negative impact agriculture reducing yields due higher temperatures pest proliferation changes rainfall cycles interrupts production timelines farmers gradually moving systems,africa,2022,August,"['negative', 'impact', 'agriculture', 'reducing', 'yields', 'due', 'higher', 'temperatures', 'pest', 'proliferation', 'changes', 'rainfall', 'cycles', 'interrupts', 'production', 'timelines', 'farmers', 'gradually', 'moving', 'systems']",0.25,0.75,0.0,-0.7184,negative
create renewable energy find contamination dey fight back,africa,2022,August,"['create', 'renewable', 'energy', 'find', 'contamination', 'dey', 'fight', 'back']",0.22,0.424,0.356,0.1531,neutral
world decade determine whether goal keeping 15 degrees remain possiblecommunities suffering devastating impacts escalating faster earlier predicted,africa,2022,August,"['world', 'decade', 'determine', 'whether', 'goal', 'keeping', '15', 'degrees', 'remain', 'possiblecommunities', 'suffering', 'devastating', 'impacts', 'escalating', 'faster', 'earlier', 'predicted']",0.33,0.67,0.0,-0.8126,negative
directly affects soil negatively contributed loss microbes used duel soil help enrich soil required nutrients means need spend get soil rich instead relying completely nature,africa,2022,August,"['directly', 'affects', 'soil', 'negatively', 'contributed', 'loss', 'microbes', 'used', 'duel', 'soil', 'help', 'enrich', 'soil', 'required', 'nutrients', 'means', 'need', 'spend', 'get', 'soil', 'rich', 'instead', 'relying', 'completely', 'nature']",0.075,0.719,0.206,0.6124,positive
truth increased cost farming huge margin unable rely much rain irrigation natural sun plants obviously gives reduced yield high cost supplementing loss,africa,2022,August,"['truth', 'increased', 'cost', 'farming', 'huge', 'margin', 'unable', 'rely', 'much', 'rain', 'irrigation', 'natural', 'sun', 'plants', 'obviously', 'gives', 'reduced', 'yield', 'high', 'cost', 'supplementing', 'loss']",0.081,0.596,0.323,0.7096,positive
thank youconfused,africa,2022,August,"['thank', 'youconfused']",0.0,0.286,0.714,0.3612,positive
fmr please help answer question ghanaian farmers farmers affecting way farm dealing,africa,2022,August,"['fmr', 'please', 'help', 'answer', 'question', 'ghanaian', 'farmers', 'farmers', 'affecting', 'way', 'farm', 'dealing']",0.0,0.667,0.333,0.6124,positive
worlds wealthiest man elon musk ruffled feathers claiming low birth rate poses bigger risk civilisation,africa,2022,August,"['worlds', 'wealthiest', 'man', 'elon', 'musk', 'ruffled', 'feathers', 'claiming', 'low', 'birth', 'rate', 'poses', 'bigger', 'risk', 'civilisation']",0.216,0.619,0.165,0.0,neutral
people die coldthan heathumans tropical species shady policies 4 conlike esg stop farming k cows restricting good fertilizers aka fooddestroying cheap available energy aka oilor blaming rasha wont fix,africa,2022,August,"['people', 'die', 'coldthan', 'heathumans', 'tropical', 'species', 'shady', 'policies', '4', 'conlike', 'esg', 'stop', 'farming', 'k', 'cows', 'restricting', 'good', 'fertilizers', 'aka', 'fooddestroying', 'cheap', 'available', 'energy', 'aka', 'oilor', 'blaming', 'rasha', 'wont', 'fix']",0.314,0.554,0.132,-0.7845,negative
yep nothing concerns government,africa,2022,August,"['yep', 'nothing', 'concerns', 'government']",0.0,0.577,0.423,0.296,neutral
seaspiracy really nice hs similarities cowspiracy health id recommend passionate,africa,2022,August,"['seaspiracy', 'really', 'nice', 'hs', 'similarities', 'cowspiracy', 'health', 'id', 'recommend', 'passionate']",0.0,0.438,0.562,0.8399,positive
wish could hear issues farmers ghana facing copingfarmers tl help,africa,2022,August,"['wish', 'could', 'hear', 'issues', 'farmers', 'ghana', 'facing', 'copingfarmers', 'tl', 'help']",0.0,0.597,0.403,0.6597,positive
happy rising finally sun plants happyghana definitely exempt issues weve seeing extreme balanced weather conditionstoo much rain short time year instead spread outfarmers need consistent rain,africa,2022,August,"['happy', 'rising', 'finally', 'sun', 'plants', 'happyghana', 'definitely', 'exempt', 'issues', 'weve', 'seeing', 'extreme', 'balanced', 'weather', 'conditionstoo', 'much', 'rain', 'short', 'time', 'year', 'instead', 'spread', 'outfarmers', 'need', 'consistent', 'rain']",0.0,0.747,0.253,0.7783,positive
trump told world hoax branded political incorrectnow really changed back burning coal indeed scary world,africa,2022,August,"['trump', 'told', 'world', 'hoax', 'branded', 'political', 'incorrectnow', 'really', 'changed', 'back', 'burning', 'coal', 'indeed', 'scary', 'world']",0.29,0.71,0.0,-0.6486,negative
winter approaches amp war ukr aint going way anticipatingyet theyd cut hands feeding gas ampoil left options swallowing pride ampdash coal saidburning cause,africa,2022,August,"['winter', 'approaches', 'amp', 'war', 'ukr', 'aint', 'going', 'way', 'anticipatingyet', 'theyd', 'cut', 'hands', 'feeding', 'gas', 'ampoil', 'left', 'options', 'swallowing', 'pride', 'ampdash', 'coal', 'saidburning', 'cause']",0.211,0.704,0.085,-0.5574,negative
underrate farmers called uninformed farmers informed never knewlets big problems farmers uganda world askshow harvest,africa,2022,August,"['underrate', 'farmers', 'called', 'uninformed', 'farmers', 'informed', 'never', 'knewlets', 'big', 'problems', 'farmers', 'uganda', 'world', 'askshow', 'harvest']",0.0,0.861,0.139,0.3089,positive
think protected montana whole state tinderbox waiting burn coming dry summershave left trump cult,africa,2022,August,"['think', 'protected', 'montana', 'whole', 'state', 'tinderbox', 'waiting', 'burn', 'coming', 'dry', 'summershave', 'left', 'trump', 'cult']",0.0,0.818,0.182,0.4404,positive
ev trend accelerating faster expected detailed report latest statistics interesting,africa,2022,August,"['ev', 'trend', 'accelerating', 'faster', 'expected', 'detailed', 'report', 'latest', 'statistics', 'interesting']",0.0,0.769,0.231,0.4019,positive
jusper nothing like bro,africa,2022,August,"['jusper', 'nothing', 'like', 'bro']",0.413,0.587,0.0,-0.2755,neutral
sweat bad really upon keep sweat towel,africa,2022,August,"['sweat', 'bad', 'really', 'upon', 'keep', 'sweat', 'towel']",0.368,0.632,0.0,-0.5423,negative
saying thislow birth rate going bigger problem,africa,2022,August,"['saying', 'thislow', 'birth', 'rate', 'going', 'bigger', 'problem']",0.31,0.69,0.0,-0.4019,negative
person wey care,africa,2022,August,"['person', 'wey', 'care']",0.0,0.385,0.615,0.4939,positive
africas place period 4,africa,2022,August,"['africas', 'place', 'period', '4']",0.0,1.0,0.0,0.0,neutral
happen lagos soon,africa,2022,August,"['happen', 'lagos', 'soon']",0.0,1.0,0.0,0.0,neutral
lets talk,africa,2022,August,"['lets', 'talk']",0.0,1.0,0.0,0.0,neutral
